model,epoch,train_mse,valid_mse,valid_rmse,epoch_seconds
linear_pointwise,1.0,0.5176441743969917,0.5986266434192657,0.7737096635167908,0.15723120899999987
tiny_cnn,1.0,0.31252148747444153,0.19698181003332138,0.4438263286842291,0.26764162500000044
