label,seed,model,split,training_samples,parameters,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg,circular_mae_deg,inference_time_per_sample_sec,rmse_improvement_percent
Euler-1 reduced-data benchmark,12345,persistence,train,0,0,0.0,0.08478388284534724,0.2911767209880406,0.07891331246879559,0.4550806025628025,32.31360082738324,9.474315508327019,0.0006893004866180038,
Euler-1 reduced-data benchmark,12345,persistence,valid,0,0,0.0,0.09387680888175964,0.3063932259071007,0.08628994111831371,0.4831208280854664,33.66251810062672,10.230957433235025,0.0005123549807692235,
Euler-1 reduced-data benchmark,12345,persistence,test,0,0,0.0,0.08853591247038407,0.2975498487151087,0.08205498240210793,0.46488261400487446,32.85867909122278,9.8008116784857,0.0005231825818181723,0.0
Euler-1 reduced-data benchmark,12345,resnet_cnn,train,411,85313,127.397114417,0.07087927440367185,0.2662316179638922,0.1548660027719762,0.41609386055527137,41.9769071209723,26.391359162690563,0.07527876034063254,
Euler-1 reduced-data benchmark,12345,resnet_cnn,valid,411,85313,127.397114417,0.07566532148764683,0.2750733020262905,0.1575257399907479,0.4337355731860691,42.847465358134286,26.644491769340537,0.0751278036730767,
Euler-1 reduced-data benchmark,12345,resnet_cnn,test,411,85313,127.397114417,0.07127562761306763,0.2669749569024549,0.15324948700991545,0.41711335554226375,41.999530862092215,26.06999132774447,0.07502209165454536,10.275552800541996
Euler-1 reduced-data benchmark,12345,fno,train,411,593345,16.393607790999994,0.08296102691450838,0.28802955909855565,0.18423396755018953,0.45016189730549805,44.606130090709186,31.22258568473422,0.014245565389294376,
Euler-1 reduced-data benchmark,12345,fno,valid,411,593345,16.393607790999994,0.0829047033419976,0.2879317685528945,0.18107128257934862,0.4540108027635197,43.988073524104195,30.506271531580325,0.014189442307692427,
Euler-1 reduced-data benchmark,12345,fno,test,411,593345,16.393607790999994,0.08044150309129194,0.2836221131916409,0.17990122491663152,0.44312235391642935,43.87205042716794,30.489032568763612,0.014116326509090723,4.680807462551606
