label,model,seeds,training_samples,parameters,test_mse_mean,test_mse_std,test_mse_mean_std,test_rmse_mean,test_rmse_std,test_rmse_mean_std,test_mae_mean,test_mae_std,test_mae_mean_std,test_relative_l2_mean,test_relative_l2_std,test_relative_l2_mean_std,test_circular_rmse_deg_mean,test_circular_rmse_deg_std,test_circular_rmse_deg_mean_std,test_circular_mae_deg_mean,test_circular_mae_deg_std,test_circular_mae_deg_mean_std,test_rmse_improvement_percent_mean,test_rmse_improvement_percent_std,test_rmse_improvement_percent_mean_std,test_inference_time_per_sample_sec_mean,test_inference_time_per_sample_sec_std,test_inference_time_per_sample_sec_mean_std
Euler-1 reduced-data benchmark,fno,1,411,593345,0.08044150309129194,0.0,0.0804415 +/- 0,0.2836221131916409,0.0,0.283622 +/- 0,0.17990122491663152,0.0,0.179901 +/- 0,0.44312235391642935,0.0,0.443122 +/- 0,43.87205042716794,0.0,43.8721 +/- 0,30.489032568763612,0.0,30.489 +/- 0,4.680807462551606,0.0,4.68081 +/- 0,0.014116326509090723,0.0,0.0141163 +/- 0
Euler-1 reduced-data benchmark,persistence,1,0,0,0.08853591247038407,0.0,0.0885359 +/- 0,0.2975498487151087,0.0,0.29755 +/- 0,0.08205498240210793,0.0,0.082055 +/- 0,0.46488261400487446,0.0,0.464883 +/- 0,32.85867909122278,0.0,32.8587 +/- 0,9.8008116784857,0.0,9.80081 +/- 0,0.0,0.0,0 +/- 0,0.0005231825818181723,0.0,0.000523183 +/- 0
Euler-1 reduced-data benchmark,resnet_cnn,1,411,85313,0.07127562761306763,0.0,0.0712756 +/- 0,0.2669749569024549,0.0,0.266975 +/- 0,0.15324948700991545,0.0,0.153249 +/- 0,0.41711335554226375,0.0,0.417113 +/- 0,41.999530862092215,0.0,41.9995 +/- 0,26.06999132774447,0.0,26.07 +/- 0,10.275552800541996,0.0,10.2756 +/- 0,0.07502209165454536,0.0,0.0750221 +/- 0
