seed,model,epoch,train_mse,valid_rmse,valid_circular_rmse_deg,selection_metric,is_best
12345,resnet_cnn,1,0.1264598712397608,0.27507331973623644,42.84746922224486,0.27507331973623644,1
12345,resnet_cnn,2,0.06928870031143337,0.27125400528592625,41.31187315457358,0.27125400528592625,1
12345,resnet_cnn,3,0.06695571933349553,0.26895335770214346,39.6876658451549,0.26895335770214346,1
12345,resnet_cnn,4,0.06564083702662855,0.26579384055060873,39.55966044320683,0.26579384055060873,1
12345,resnet_cnn,5,0.06408013320027187,0.26306101580926056,39.135409844775744,0.26306101580926056,1
12345,resnet_cnn,6,0.06294705766794745,0.25998815003737114,38.395906152430946,0.25998815003737114,1
12345,resnet_cnn,7,0.061750694601785235,0.25631920066210295,38.740149078050784,0.25631920066210295,1
12345,resnet_cnn,8,0.060930073660075516,0.2542185155450738,38.2552428754223,0.2542185155450738,1
12345,resnet_cnn,9,0.059368232305902637,0.25119586601368005,38.184814778408516,0.25119586601368005,1
12345,resnet_cnn,10,0.0576744277728155,0.24982267461722,36.84636216581722,0.24982267461722,1
12345,resnet_cnn,11,0.0573908969252359,0.2480235368966026,37.470855482726094,0.2480235368966026,1
12345,resnet_cnn,12,0.055608655740744875,0.242421372728327,36.529747201192116,0.242421372728327,1
12345,resnet_cnn,13,0.05449949222143259,0.23959475854702206,36.552722324079,0.23959475854702206,1
12345,resnet_cnn,14,0.05265246392420318,0.23554305776565607,36.28088379448596,0.23554305776565607,1
12345,resnet_cnn,15,0.051911082290964985,0.23598554642314737,36.99289952264575,0.23598554642314737,0
12345,resnet_cnn,16,0.05082156488313872,0.23468956622794943,35.402962821318624,0.23468956622794943,1
12345,resnet_cnn,17,0.05015704838826419,0.2333821824192794,35.50915382614904,0.2333821824192794,1
12345,resnet_cnn,18,0.048640929552252854,0.22714502100024972,34.841071105832704,0.22714502100024972,1
12345,resnet_cnn,19,0.047921125734011916,0.22441530423326173,34.675309686388744,0.22441530423326173,1
12345,resnet_cnn,20,0.04737575418358882,0.22264324181121956,34.812765650747,0.22264324181121956,1
12345,resnet_cnn,21,0.04583532813655489,0.2189780313520463,33.810537759738494,0.2189780313520463,1
12345,resnet_cnn,22,0.04561266864121975,0.21841101397376636,33.924711559371666,0.21841101397376636,1
12345,resnet_cnn,23,0.04433188226681266,0.2138526182635443,32.759833862614826,0.2138526182635443,1
12345,resnet_cnn,24,0.043347473090872564,0.21315057104162222,32.579637680130155,0.21315057104162222,1
12345,resnet_cnn,25,0.04378891215997311,0.21562821748389205,32.848792703775054,0.21562821748389205,0
12345,resnet_cnn,26,0.042535312564413626,0.21177630052424662,33.0677348190913,0.21177630052424662,1
12345,resnet_cnn,27,0.04167771933106321,0.21347497188693154,32.641571741814765,0.21347497188693154,0
12345,resnet_cnn,28,0.04177443395819687,0.21384987126235364,32.734366061903025,0.21384987126235364,0
12345,resnet_cnn,29,0.040920838423599004,0.2087315745065314,31.93936147590792,0.2087315745065314,1
12345,resnet_cnn,30,0.04059720401926342,0.20538016144758617,32.42923494558252,0.20538016144758617,1
12345,resnet_cnn,31,0.03938214208957923,0.20495336042078546,31.718557595236106,0.20495336042078546,1
12345,resnet_cnn,32,0.039387546234974896,0.20317044539766096,31.343871289794482,0.20317044539766096,1
12345,resnet_cnn,33,0.03953027541221203,0.2044542079064983,31.92986062637212,0.2044542079064983,0
12345,resnet_cnn,34,0.03878086115575765,0.20169705717456943,31.43331506560793,0.20169705717456943,1
12345,resnet_cnn,35,0.03894384257005949,0.2003124538475596,30.965950244902643,0.2003124538475596,1
12345,resnet_cnn,36,0.03803090608413637,0.20227003887744271,31.15605278258286,0.20227003887744271,0
12345,resnet_cnn,37,0.03751320827870183,0.19978493861732463,30.748160549511454,0.19978493861732463,1
12345,resnet_cnn,38,0.038224248872693725,0.19805095276579607,30.722298204966503,0.19805095276579607,1
12345,resnet_cnn,39,0.03698496221408357,0.2018669717695426,31.953483980670967,0.2018669717695426,0
12345,resnet_cnn,40,0.038546680796828006,0.2044506359254376,32.09153823698618,0.2044506359254376,0
12345,resnet_cnn,41,0.03688539268217818,0.19864079628366266,30.646584841877075,0.19864079628366266,0
12345,resnet_cnn,42,0.03670815739173379,0.19877007824559706,30.812520734336317,0.19877007824559706,0
12345,resnet_cnn,43,0.037165047872784365,0.20063530699606194,31.08548005861193,0.20063530699606194,0
12345,resnet_cnn,44,0.0367038017614697,0.19681977631680217,30.281433133157996,0.19681977631680217,1
12345,resnet_cnn,45,0.03524780756546923,0.19479055575322468,30.26867312176045,0.19479055575322468,1
12345,resnet_cnn,46,0.03500094849371562,0.19508608385605383,30.079360508396032,0.19508608385605383,0
12345,resnet_cnn,47,0.035830685710239875,0.19310867845995788,29.923111000569058,0.19310867845995788,1
12345,resnet_cnn,48,0.034656316032882446,0.1990350592736015,30.2432725671314,0.1990350592736015,0
12345,resnet_cnn,49,0.03468184676610495,0.19209882501806988,29.77000367288323,0.19209882501806988,1
12345,resnet_cnn,50,0.03433719156377942,0.1961630523696489,29.433670096974556,0.1961630523696489,0
12345,resnet_cnn,51,0.03430728907096415,0.19151661608887569,29.6469325703234,0.19151661608887569,1
12345,resnet_cnn,52,0.034216381754463315,0.19382567891831257,30.160501913564904,0.19382567891831257,0
12345,resnet_cnn,53,0.03447923199284976,0.19418830262524706,29.200703858531053,0.19418830262524706,0
12345,resnet_cnn,54,0.03391207577864619,0.19278984178409034,29.835853156510254,0.19278984178409034,0
12345,resnet_cnn,55,0.0341911501819925,0.1912950038258389,29.326177707946517,0.1912950038258389,1
12345,resnet_cnn,56,0.03386864123680151,0.19328320424913942,29.563390543517688,0.19328320424913942,0
12345,resnet_cnn,57,0.03304267230550158,0.18930900977778586,29.18694763539135,0.18930900977778586,1
