label,seed,model,split,training_samples,parameters,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg,circular_mae_deg,inference_time_per_sample_sec,rmse_improvement_percent
Euler-1 reduced-data benchmark,23456,persistence,valid,0,0,0.0,0.09387680830863807,0.3063932249718294,0.08628993997207055,0.4831208252338835,33.66251810062672,10.230957433235025,0.00016330538066820457,
Euler-1 reduced-data benchmark,23456,persistence,test,0,0,0.0,0.0885359146378257,0.29754985235725745,0.08205498240210793,0.46488261723569174,32.85867909122278,9.800811430115186,0.0001592048697850921,0.0
Euler-1 reduced-data benchmark,23456,resnet_cnn,train,411,85313,937.595719280187,0.027794694342172348,0.16671740863560813,0.0678775612165168,0.26056292682935933,26.38337947667614,11.650001872616274,0.005138391684378223,
Euler-1 reduced-data benchmark,23456,resnet_cnn,valid,411,85313,937.595719280187,0.0322788142814086,0.17966305764237844,0.0714027640911249,0.2832927023115775,27.256945162910938,12.011129207734417,0.005174213465159902,
Euler-1 reduced-data benchmark,23456,resnet_cnn,test,411,85313,937.595719280187,0.031351607767018404,0.17706385223138688,0.0699817885052074,0.2766390451584884,27.129532409308826,11.819553938803628,0.0052223189056596975,40.4927104387225
Euler-1 reduced-data benchmark,23456,fno,train,411,593345,467.98532100301236,0.023993787058876087,0.15489928036913564,0.06817672885682462,0.24209235462766682,25.438095585833405,11.909861313727392,0.006435610702909402,
Euler-1 reduced-data benchmark,23456,fno,valid,411,593345,467.98532100301236,0.032727918515984826,0.18090859160356323,0.07519141183449672,0.2852566602131915,27.33109469701894,12.663910089181295,0.00627639396295238,
Euler-1 reduced-data benchmark,23456,fno,test,411,593345,467.98532100301236,0.03154240982099013,0.17760182944156327,0.07534973838112571,0.27747956398751367,27.72143249435354,12.858796777112387,0.006210811707106504,40.31190806025905
Euler-1 reduced-data benchmark,34567,persistence,train,0,0,0.0,0.08478388317165003,0.29117672154835805,0.07891331217874865,0.4550806039221514,32.31360098944885,9.474315520790869,0.00014993176544017165,
Euler-1 reduced-data benchmark,34567,persistence,valid,0,0,0.0,0.09387680830863807,0.3063932249718294,0.08628993997207055,0.4831208252338835,33.66251810062672,10.230957433235025,0.0001507023832975672,
Euler-1 reduced-data benchmark,34567,persistence,test,0,0,0.0,0.0885359146378257,0.29754985235725745,0.08205498240210793,0.46488261723569174,32.85867909122278,9.800811430115186,0.00014762067320671948,0.0
Euler-1 reduced-data benchmark,34567,resnet_cnn,train,411,85313,935.8717888421379,0.027194851832668277,0.16490861661134715,0.06733548162627394,0.25773596318833886,26.364367228701283,11.603627630198632,0.005148214712929334,
Euler-1 reduced-data benchmark,34567,resnet_cnn,valid,411,85313,935.8717888421379,0.0322426613420248,0.17956241628476935,0.07081677821966317,0.28313401102280883,27.441512972771495,11.936949281504535,0.005201882208124376,
Euler-1 reduced-data benchmark,34567,resnet_cnn,test,411,85313,935.8717888421379,0.03095585974779996,0.17594277407100287,0.06983723640441894,0.2748875075751347,27.333689078429625,11.860038581163673,0.005235179564492269,40.86948029812675
Euler-1 reduced-data benchmark,34567,fno,train,411,593345,723.0408885618672,0.019255709093417565,0.13876494187444308,0.05809968347387012,0.21687596870945638,22.984679473453514,10.192416910932202,0.006444676374731055,
Euler-1 reduced-data benchmark,34567,fno,valid,411,593345,723.0408885618672,0.03164194037134831,0.1778818157410934,0.06802012599431552,0.28048404015082273,25.91868355808467,11.261898436919038,0.006277297462265079,
Euler-1 reduced-data benchmark,34567,fno,test,411,593345,723.0408885618672,0.028824329647150905,0.16977729426266314,0.06674454103816639,0.26525475404792603,25.651349856860797,11.247582969404089,0.006188949671658603,42.941563264895315
