model,epoch,train_mse,valid_mse,valid_rmse,epoch_seconds
linear_pointwise,1.0,0.5346024988321313,0.4932822727021717,0.7023405674615213,0.24306179199999978
linear_pointwise,2.0,0.47625684700434723,0.43906462760198683,0.6626195194845884,0.19732845800000032
tiny_cnn,1.0,0.11708326600020445,0.08133560099772044,0.2851939708298905,9.769276834
tiny_cnn,2.0,0.06978006167376595,0.07936511579014006,0.2817181495575677,9.7356325
fno,1.0,0.08487351320463897,0.06271397215979439,0.25042757867254634,47.822654167
fno,2.0,0.05162234258551135,0.05372700556403115,0.23179086600647392,47.436620958999995
