model,split,parameters,epochs,train_seconds,mse,rmse,mae,relative_l2,circular_rmse_deg
fno,train,8161,1,0.238,0.401384,0.63354873,0.56616199,1.0055714,114.00677
fno,valid,8161,1,0.238,0.40827365,0.63896295,0.57253024,1.0066366,114.99861
fno,test,8161,1,0.238,0.38718921,0.6222453,0.55180192,1.0062272,111.98628
